category,calibration_rows_read,control_id,decision_sets,eligible,final_test_rows_read,fold_count,ineligible_folds,mean_fold_nrmse,mean_regret_m_s,model_view,pooled_oof_nrmse,pooled_oof_rmse,seed_index,status,track_id,validation_rows,wall_time_s,auroc,expected_calibration_error,false_negative_rate,false_positive_rate,pooled_oof_brier,precision_at_0_5,predicted_feasible_rate,recall_at_0_5
control,0,C02-T02,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.9122088518646558,0.07786565462618936,0.6787576775987948,0.033848078759342794,0.10796846534344819,0.7294736842105263,0.09743589743589744,0.32124232240120526
control,0,C03-T13,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
control,0,C05-T12,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.5823661371557967,0.11269406731487307,0.9053192722215784,0.04194791083599486,0.17510049474842385,0.3907221425155428,0.05361538461538461,0.0946807277784216
control,0,C06-T17,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.8971983962581732,0.09764262831651918,0.6009966392397729,0.048269730993381846,0.12247392928942265,0.7013648400896313,0.12587179487179487,0.39900336076022713
control,0,A01-T04-q8,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.7164956320160113,0.17122002122569313,0.8600069532970217,0.10651608442264002,0.19198678317795542,0.2718883637182084,0.11392307692307692,0.13999304670297832
control,0,C05-T17-q8,,True,0,5,[],,,control,,,7,complete,FQK,39000,58.64893170003779,0.5908552830452563,0.15718055372916778,0.8952369915401552,0.06947416943795068,0.18838186730286954,0.29993364299933645,0.07728205128205128,0.10476300845984471
control,0,C06-T17,7800,True,0,5,[],0.005356997531575444,16.806576945019742,control,0.006832811015144498,0.016001739666352786,8,complete,Q01b,39000,59.15512830001535,,,,,,,,
control,0,A01-T04-q8,7800,True,0,5,[],0.5595833948336196,19.4217320057291,control,0.6584098909084032,1.5419281529543665,8,complete,Q01b,39000,59.15512830001535,,,,,,,,
control,0,C05-T17-q8,7800,True,0,5,[],0.3586443336655426,19.42683126427718,control,0.4480202300375635,1.0492172358390583,8,complete,Q01b,39000,59.15512830001535,,,,,,,,
control,0,C01-T18,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.7818671860285199,0.12381248226167361,0.8655695909143586,0.04724902044713707,0.16248505762400986,0.44701348747591524,0.06653846153846153,0.13443040908564144
control,0,C02-T02,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.9143478379871338,0.06681747282431186,0.6740062579673195,0.03628461361166903,0.10435665311107056,0.7185185185185186,0.10038461538461538,0.3259937420326805
control,0,C03-T13,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.8989529527337629,0.11489695140934364,0.5932321242322401,0.05643541536334003,0.13088043978657862,0.6718989280245024,0.13394871794871796,0.40676787576775986
control,0,C04-T28,,True,0,5,[],,,control,,,8,complete,FQK,39000,59.15512830001535,0.7306596292347993,0.07358071774528153,0.9986093405956658,0.0032596885186526622,0.15782398239201534,0.10810810810810811,0.0028461538461538463,0.0013906594043342217
