outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,validation_outcomes_used
CV03,17,GFRK-08-L010,8,1,True,256,256,0.1,24,-1.907588203111001e-15,0
CV03,18,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.8881781828782026e-14,0
CV03,18,GFRK-06-L010,6,1,True,64,256,0.1,34,-2.7164517725003616e-15,0
CV03,18,GFRK-08-L010,8,1,True,256,256,0.1,35,-4.052769095166809e-15,0
CV03,19,GFRK-04-L010,4,1,True,16,256,0.1,175,-4.2289483763113306e-14,0
CV03,19,GFRK-06-L010,6,1,True,64,256,0.1,34,-2.2736404230986613e-15,0
CV03,19,GFRK-08-L010,8,1,True,256,256,0.1,25,-1.0393242544398864e-15,0
CV03,20,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.7231378907051966e-14,0
CV03,20,GFRK-06-L010,6,1,True,64,256,0.1,38,-1.91447040445177e-15,0
CV03,20,GFRK-08-L010,8,1,True,256,256,0.1,30,-1.444743526045496e-15,0
CV04,1,GFRK-04-L010,4,1,True,16,256,0.1,175,-2.7521028201993603e-14,0
CV04,1,GFRK-06-L010,6,1,True,64,256,0.1,30,-2.3491160902999104e-15,0
CV04,1,GFRK-08-L010,8,1,True,256,256,0.1,20,-1.4454716082993716e-15,0
CV04,2,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.088916102974212e-14,0
CV04,2,GFRK-06-L010,6,1,True,64,256,0.1,24,-1.640589650053376e-15,0
CV04,2,GFRK-08-L010,8,1,True,256,256,0.1,25,-3.3541400555011484e-15,0
CV04,3,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.1608399324751896e-14,0
CV04,3,GFRK-06-L010,6,1,True,64,256,0.1,31,-1.8395633406780714e-15,0
CV04,3,GFRK-08-L010,8,1,True,256,256,0.1,26,-2.690222747681124e-15,0
CV04,4,GFRK-04-L010,4,1,True,16,256,0.1,175,-1.6352418964070946e-14,0
CV04,4,GFRK-06-L010,6,1,True,64,256,0.1,29,-1.708458190122805e-14,0
CV04,4,GFRK-08-L010,8,1,True,256,256,0.1,23,-4.668555900553963e-15,0
