outer_fold,seed_index,q,inner_fold,fit_rows,holdout_rows,fit_groups,holdout_groups,group_intersection_count,channel_source,validation_outcomes_used,candidate_weight,candidate_numerator,candidate_denominator,control_weight,control_numerator,control_denominator,weight_source
CV01,10,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,10,8,aggregate,1024,1024,,,,,0,1.0,0.5883151011601595,0.42654226945421736,0.0,-0.1314003690482728,0.05270443106876571,inner_grouped_out_of_fold_training_predictions
CV01,11,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,4,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,4,aggregate,1024,1024,,,,,0,1.0,0.8483776487398418,0.7836345698845967,0.7515849125792271,0.022408807787755034,0.029815403971926918,inner_grouped_out_of_fold_training_predictions
CV01,11,6,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,6,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,6,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,6,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,6,aggregate,1024,1024,,,,,0,1.0,0.45350722864947873,0.2715859131974402,0.0,-0.09273654088111874,0.04450178295838085,inner_grouped_out_of_fold_training_predictions
CV01,11,8,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,8,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,8,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,8,4,715,309,G02;G05;G07;G08;G09;G10;G12,G01;G04;G11,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,11,8,aggregate,1024,1024,,,,,0,1.0,0.5836343584946401,0.4379048534645974,0.0,-0.13154109746170772,0.0536091621113666,inner_grouped_out_of_fold_training_predictions
CV01,12,4,1,820,204,G01;G04;G05;G07;G08;G09;G11;G12,G02;G10,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,12,4,2,701,323,G01;G02;G04;G08;G09;G10;G11,G05;G07;G12,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
CV01,12,4,3,836,188,G01;G02;G04;G05;G07;G10;G11;G12,G08;G09,0,inner_fit_only_cross_fitted_c06_residual,0,,,,,,,
