outer_fold,seed_index,q,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,candidate_interaction_norm,control_interaction_norm,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV03,14,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4177658408458866,1.702705954337211,1.6965027041962641,0.41759375013575967,0.5494077869408921,1024,1024,0,same_cross_fitted_c06_residual
CV03,15,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943184624413,2.0572797651106063,2.1443861785401976,3.3772427979493176,2.7438779654848284,1024,1024,0,same_cross_fitted_c06_residual
CV03,15,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3257573633040112,1.6687059557715103,1.5839449302802913,2.662526317794467,1.1439932887573203,1024,1024,0,same_cross_fitted_c06_residual
CV03,15,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4481727621368505,1.7044164454332795,1.7007001637277235,0.4006500517368592,0.5356351951950045,1024,1024,0,same_cross_fitted_c06_residual
CV03,16,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943187747433,2.0667879471058503,2.154079862061016,3.377745969163616,2.749302457530237,1024,1024,0,same_cross_fitted_c06_residual
CV03,16,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3008813970255997,1.6692848091794628,1.5858959215304305,2.6261612918671426,1.1425668364901223,1024,1024,0,same_cross_fitted_c06_residual
CV03,16,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4467071237137121,1.6998505040974132,1.6895906032907242,0.3203504796558087,0.540097429131458,1024,1024,0,same_cross_fitted_c06_residual
CV03,17,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943183177675,2.062853395261055,2.1498948737352572,3.3711230930973275,2.7381874498590877,1024,1024,0,same_cross_fitted_c06_residual
CV03,17,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3089312792290868,1.6695905464707532,1.586075171785395,2.7382314981427847,1.1469554099926849,1024,1024,0,same_cross_fitted_c06_residual
CV03,17,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4168037424627105,1.7042292400453931,1.697807330059233,0.6313596872684669,0.5277678901401515,1024,1024,0,same_cross_fitted_c06_residual
CV03,18,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943182258322,2.0598473082166704,2.143206984298055,3.3756659372277587,2.7443788244685865,1024,1024,0,same_cross_fitted_c06_residual
CV03,18,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3099840358531611,1.6748862587578028,1.5892637570120867,2.7025673127762286,1.1140956780140294,1024,1024,0,same_cross_fitted_c06_residual
CV03,18,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4100929777322395,1.7066125118848197,1.7008949549871935,0.33006369511174316,0.5439551445622133,1024,1024,0,same_cross_fitted_c06_residual
CV03,19,4,NIFRK-04-NL,TWO-RBF-04-NL,1.7440943190173142,2.059582122364454,2.141204853946889,3.3756713907961675,2.744033091261716,1024,1024,0,same_cross_fitted_c06_residual
CV03,19,6,NIFRK-06-NL,TWO-RBF-06-NL,1.3287750436026526,1.6722216315023173,1.5896076739993117,2.6317946019600433,1.1234642464295304,1024,1024,0,same_cross_fitted_c06_residual
CV03,19,8,NIFRK-08-NL,TWO-RBF-08-NL,1.444999577834578,1.7041645059491939,1.6983920163972146,0.4749049217165872,0.5416388978435852,1024,1024,0,same_cross_fitted_c06_residual
CV03,20,4,NIFRK-04-NL,TWO-RBF-04-NL,1.744094317935244,2.0654616712750973,2.146743956726243,3.374386133150209,2.7422227824890397,1024,1024,0,same_cross_fitted_c06_residual
CV03,20,6,NIFRK-06-NL,TWO-RBF-06-NL,1.30984966470087,1.6748623212526155,1.5886876102030019,2.7299815556461087,1.1464566270471204,1024,1024,0,same_cross_fitted_c06_residual
CV03,20,8,NIFRK-08-NL,TWO-RBF-08-NL,1.4310697191966142,1.7013598264729481,1.6935050491033126,0.2519264198524965,0.5550578968849549,1024,1024,0,same_cross_fitted_c06_residual
