outer_fold,seed_index,grid,candidate_losses,control_losses,candidate_lambda,control_lambda,selection_source,validation_outcomes_used
CV03,12,0.05;0.10;0.15,0.001023598667290283;0.001033819989836553;0.001048575351463447,0.001044487192224713;0.001084727023842122;0.00113863087867686,0.05,0.05,outer_training_inner_oof_only,0
CV03,13,0.05;0.10;0.15,0.001023188044622691;0.001033018506518781;0.001047402769512905,0.001044543135481585;0.001084903566146647;0.00113899267581982,0.05,0.05,outer_training_inner_oof_only,0
CV03,14,0.05;0.10;0.15,0.001022333013234835;0.001031257108684841;0.00104468367017465,0.001044394066640477;0.001084578028505285;0.001138463269419059,0.05,0.05,outer_training_inner_oof_only,0
CV03,15,0.05;0.10;0.15,0.001023074223189906;0.001032783304892863;0.001047038628933505,0.001044484071553121;0.001084809338149177;0.001138887183612802,0.05,0.05,outer_training_inner_oof_only,0
CV03,16,0.05;0.10;0.15,0.00102335207549756;0.001033221206104665;0.001047518775645951,0.00104444057334419;0.001084679845213762;0.001138629199433348,0.05,0.05,outer_training_inner_oof_only,0
CV03,17,0.05;0.10;0.15,0.001023153789876246;0.001032895796695314;0.001047137404281838,0.001044611874134067;0.001085015145782231;0.001139121198769125,0.05,0.05,outer_training_inner_oof_only,0
CV03,18,0.05;0.10;0.15,0.001022840670472501;0.001032319198068966;0.001046346966614031,0.001044678806054536;0.001085218278671432;0.001139529801675323,0.05,0.05,outer_training_inner_oof_only,0
CV03,19,0.05;0.10;0.15,0.001023068357646876;0.001032735602328793;0.001046913117870383,0.001044584712233036;0.001085010721619304;0.001139189411983437,0.05,0.05,outer_training_inner_oof_only,0
CV03,20,0.05;0.10;0.15,0.001022741683673444;0.001032256879359815;0.001046456970883749,0.001044599295146847;0.001085061561769311;0.001139298183692027,0.05,0.05,outer_training_inner_oof_only,0
CV04,1,0.05;0.10;0.15,0.0003725123719160983;0.0003953104429169444;0.0004198645120488312,0.0003718852746108709;0.0003939590146880429;0.0004176915192778088,0.05,0.05,outer_training_inner_oof_only,0
CV04,2,0.05;0.10;0.15,0.000372600161666921;0.0003954875477761834;0.0004201324573740799,0.0003718756850737145;0.0003939385155862186;0.000417658790583805,0.05,0.05,outer_training_inner_oof_only,0
CV04,3,0.05;0.10;0.15,0.0003725696458075475;0.0003954242238866991;0.0004200340332837474,0.0003719083421514026;0.0003940080797746204;0.0004177695119159464,0.05,0.05,outer_training_inner_oof_only,0
CV04,4,0.05;0.10;0.15,0.0003727287666282305;0.0003957588201481942;0.0004205604596061837,0.0003718891663783992;0.0003939697410460352;0.0004177120230492008,0.05,0.05,outer_training_inner_oof_only,0
