outer_fold,seed_index,q,common_target_l2,second_stage_fidelity_l2,second_stage_rbf50_l2,validation_outcomes_used,stage_order,channel_source
CV03,3,6,1.0919544349591308,1.7943880458838115,1.10989227692144,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,3,8,1.0919544349591308,1.6597226139275696,1.0113088603335039,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,4,4,1.091835456336082,1.4067834299349113,1.6718266085406954,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,4,6,1.091835456336082,1.7820924516706427,1.1052365476674546,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,4,8,1.091835456336082,1.6473514076020415,1.0085100229896269,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,5,4,1.0919828207157998,1.4080710797147675,1.6719413935745917,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,5,6,1.0919828207157998,1.8040381397377359,1.097390496398947,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,5,8,1.0919828207157998,1.661306039889133,1.006828648590165,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,6,4,1.0917913429013832,1.4084903707033145,1.6731719267972487,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,6,6,1.0917913429013832,1.7931331932877492,1.1046679950772416,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,6,8,1.0917913429013832,1.694042107945649,1.0141340098306786,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,7,4,1.0915517558059642,1.4046343960804324,1.6644106131126513,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,7,6,1.0915517558059642,1.7726662153402348,1.1181707146248845,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,7,8,1.0915517558059642,1.6623856378464767,1.0086540483143267,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,8,4,1.092206954168136,1.4091404212679632,1.6775391152252233,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,8,6,1.092206954168136,1.7961233004177928,1.096444211045135,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,8,8,1.092206954168136,1.6540160449117598,1.0103485920877429,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,9,4,1.0921649494218104,1.407049352140114,1.6737654097170755,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,9,6,1.0921649494218104,1.7976029268490732,1.112316565776871,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,9,8,1.0921649494218104,1.6633130467965336,1.0169970347207844,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,10,4,1.0918786678256804,1.4078623154498613,1.6792603829692432,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,10,6,1.0918786678256804,1.779351416836704,1.1002500893734335,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,10,8,1.0918786678256804,1.6440520520202455,1.0227220793009586,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,11,4,1.0915975752103146,1.4058807138987508,1.6793696798815172,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,11,6,1.0915975752103146,1.764198636680086,1.1126409318338406,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,11,8,1.0915975752103146,1.6807466512944138,1.0127599803963174,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,12,4,1.0913929397691817,1.4060632400419202,1.6750651590309629,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,12,6,1.0913929397691817,1.795829175498045,1.1113676131811503,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,12,8,1.0913929397691817,1.6359027017522394,1.0031561901617716,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,13,4,1.091727437711227,1.4070133604190085,1.6738008008341425,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,13,6,1.091727437711227,1.7630137654326767,1.1047713373174608,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,13,8,1.091727437711227,1.6605552673990283,1.0042977872540528,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,14,4,1.0914827448036084,1.4054589213632016,1.679217157621839,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,14,6,1.0914827448036084,1.770441066778274,1.10512926935327,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,14,8,1.0914827448036084,1.6379700309879386,1.003171052539192,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,15,4,1.0916110922564268,1.4041890095988907,1.6765179919656281,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,15,6,1.0916110922564268,1.7649553693059006,1.1102308528108036,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,15,8,1.0916110922564268,1.6315840657804423,1.0203317502437268,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
CV03,16,4,1.0910879334139651,1.40518370439874,1.6678379151996054,0,shared_q8_rbf25_then_common_e2_q_stack,common_q8_rbf25_oof_orthogonalized_target
