outer_fold,seed_index,fit_rows,candidate_feature_columns,control_feature_columns,stack_ridge,candidate_coefficients,control_coefficients,feature_order,common_target_l2,validation_outcomes_used
CV04,12,1024,4,4,0.001,0.004026732684539934;-0.3874350033554523;-0.1694606066392458;-0.4851021994895596,0.0009396233988235441;-0.1992224855572946;-1.4101508532867;0.57214988372155,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6946469239710872,0
CV04,13,1024,4,4,0.001,0.004136252349862884;-0.3868948291295092;-0.1880180457727108;-0.4666999208435992,0.0009607892566723678;-0.205630892097872;-1.434233162790098;0.6023824158494171,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.694672750272081,0
CV04,14,1024,4,4,0.001,0.004063532233016894;-0.3908115417851311;-0.1925794636776599;-0.4559306248001571,0.0009417505721297983;-0.2046527123652016;-1.431212546580964;0.5976460752673821,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6946977245192767,0
CV04,15,1024,4,4,0.001,0.00410747904113058;-0.3910113553864574;-0.166171089613728;-0.4899018490409057,0.0009210676492696398;-0.2015852248529689;-1.420870454920421;0.5839085399273394,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6948947377847419,0
CV04,16,1024,4,4,0.001,0.004183008309395473;-0.3891657402872458;-0.1652310641346227;-0.4907912224519735,0.0009237966509655811;-0.1966032581201425;-1.447216704808499;0.6060114937118676,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6947709287865587,0
CV04,17,1024,4,4,0.001,0.004187553626714367;-0.3898742270258195;-0.1689527897873487;-0.4836071754466757,0.0009273660847746673;-0.2011334372296796;-1.409902276472349;0.5733802928496731,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6946343863311402,0
CV04,18,1024,4,4,0.001,0.004231014955305151;-0.391594661271866;-0.1638622168456767;-0.4919228064959116,0.0009442965885798372;-0.2014550079117234;-1.416582827698877;0.5801991973651049,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6947028569984954,0
CV04,19,1024,4,4,0.001,0.004134283073437326;-0.3885080054406914;-0.2037524049868007;-0.4484252597790149,0.0009285219598075858;-0.2010763321584263;-1.432209646970111;0.5945911373050704,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6947059711034598,0
CV04,20,1024,4,4,0.001,0.004191544991280607;-0.3900176653886943;-0.1509041328950508;-0.5069146118167646,0.000929548603921622;-0.1982392181328999;-1.43035390178497;0.5910123950311645,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",0.6947942912351587,0
CV05,1,1024,4,4,0.001,0.007497814852515186;0.04696388833249422;-0.3152708340124099;-0.5281098662512722,0.007422341670524077;0.3586001914645447;-0.4893826890270457;-0.9233412571531389,"[1,F4(e2),F6(e2),F8(e2)] versus [1,R50_4(e2),R50_6(e2),R50_8(e2)]",1.0341756626901903,0
