outer_fold,seed_index,shared_gain,grid,candidate_losses,control_losses,candidate_gain,control_gain,selection_source,validation_outcomes_used
CV05,6,0.1,0.05;0.10;0.15;0.20,0.000829155455906612;0.000859466522003958;0.0008920364522365846;0.000926865246604492,0.0008343621178276176;0.0008697215516853098;0.0009071815555176227;0.0009467421293245569,0.05,0.05,outer_training_inner_oof_only,0
CV05,7,0.1,0.05;0.10;0.15;0.20,0.0008283415634717591;0.0008577326156706138;0.0008893963657916064;0.0009233328138347374,0.0008346634997738847;0.0008702554852597522;0.0009079991656526446;0.0009478945409525622,0.05,0.05,outer_training_inner_oof_only,0
CV05,8,0.1,0.05;0.10;0.15;0.20,0.0008294451365561425;0.0008599842713092647;0.0008928492013496883;0.0009280399266774131,0.0008349862903389265;0.0008709200851172215;0.0009090331814252071;0.0009493255792628831,0.05,0.05,outer_training_inner_oof_only,0
CV05,9,0.1,0.05;0.10;0.15;0.20,0.0008287917754794154;0.0008587495188204768;0.0008910215662007997;0.0009256079176203841,0.0008348152750052195;0.0008706747383109531;0.0009087267260948161;0.0009489712383568087,0.05,0.05,outer_training_inner_oof_only,0
CV05,10,0.1,0.05;0.10;0.15;0.20,0.0008296278463823972;0.0008603993384829191;0.0008934807071826149;0.0009288719524814849,0.0008346167941637384;0.0008702056142049807;0.0009079326910047763;0.0009477980245631255,0.05,0.05,outer_training_inner_oof_only,0
CV05,11,0.1,0.05;0.10;0.15;0.20,0.0008288825972738057;0.0008588220596192962;0.0008910450092799401;0.0009255514462557372,0.0008347165604741112;0.0008703493760875311;0.0009081250690837284;0.0009480436394627027,0.05,0.05,outer_training_inner_oof_only,0
CV05,12,0.1,0.05;0.10;0.15;0.20,0.0008293635217471232;0.0008598791208959996;0.0008927193644872264;0.0009278842525208036,0.0008346204107459483;0.0008701820825595306;0.0009078575824813441;0.0009476469105113891,0.05,0.05,outer_training_inner_oof_only,0
CV05,13,0.1,0.05;0.10;0.15;0.20,0.0008292652030267175;0.0008597087535949798;0.0008925027776838779;0.0009276472752934116,0.0008345709145867627;0.0008701080156498767;0.0009077834291684328;0.000947597155142431,0.05,0.05,outer_training_inner_oof_only,0
CV05,14,0.1,0.05;0.10;0.15;0.20,0.0008290930743945805;0.0008592815984615689;0.0008917550496314382;0.0009265134279041888,0.0008345600093075769;0.0008700629609779246;0.0009076983324415173;0.0009474661236983544,0.05,0.05,outer_training_inner_oof_only,0
CV05,15,0.1,0.05;0.10;0.15;0.20,0.0008300005067530718;0.0008611690333272589;0.0008946762872666144;0.0009305222685711381,0.0008348899678188189;0.0008707793527099274;0.0009088388622173789;0.0009490684963411732,0.05,0.05,outer_training_inner_oof_only,0
CV05,16,0.1,0.05;0.10;0.15;0.20,0.0008288441194173318;0.0008588062124597616;0.0008910484444229194;0.0009255708153068052,0.0008347621421257081;0.0008705291965528409;0.0009084633285770286;0.0009485645381982714,0.05,0.05,outer_training_inner_oof_only,0
CV05,17,0.1,0.05;0.10;0.15;0.20,0.0008279464160233176;0.0008569892423689485;0.0008882884178758048;0.0009218439425438859,0.0008344799412096657;0.0008699258270893047;0.0009074975964778284;0.0009471952493752367,0.05,0.05,outer_training_inner_oof_only,0
CV05,18,0.1,0.05;0.10;0.15;0.20,0.0008290170070427834;0.0008592306077575807;0.0008917477405302563;0.0009265684053608101,0.0008343272342525676;0.0008696637452646187;0.0009071164714220177;0.0009466854127247646,0.05,0.05,outer_training_inner_oof_only,0
CV05,19,0.1,0.05;0.10;0.15;0.20,0.0008287283831537567;0.0008585328528884556;0.0008905999817003137;0.0009249297695893306,0.0008346113955230317;0.0008701636858613416;0.0009078434435111468;0.0009476506684724471,0.05,0.05,outer_training_inner_oof_only,0
