outer_fold,seed_index,q,eta,candidate_id,control_id,fidelity_delta_l2,rbf25_delta_l2,rbf50_delta_l2,residual_target_rows,channel_fit_rows,validation_outcomes_used,channel_source
CV01,14,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6182660423455273,0.772682287387831,0.9227362254966631,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9621779664121137,0.8599734820991252,1.0627104534383776,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9621779664121137,0.8599734820991252,1.0627104534383776,1024,1024,0,same_cross_fitted_c06_residual
CV01,14,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9621779664121137,0.8599734820991252,1.0627104534383776,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448865189816,0.7051202594847633,0.8821019102183134,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448865189816,0.7051202594847633,0.8821019102183134,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448865189816,0.7051202594847633,0.8821019102183134,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,6,0.25,HEFRK-06-E025,TWO-RBF-06-E025,1.6254502559302653,0.7736927454888102,0.9200836549159626,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,6,0.5,HEFRK-06-E050,TWO-RBF-06-E050,1.6254502559302653,0.7736927454888102,0.9200836549159626,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,6,0.75,HEFRK-06-E075,TWO-RBF-06-E075,1.6254502559302653,0.7736927454888102,0.9200836549159626,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,8,0.25,HEFRK-08-E025,TWO-RBF-08-E025,1.9718577186301893,0.8601312335768226,1.0646070324365808,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,8,0.5,HEFRK-08-E050,TWO-RBF-08-E050,1.9718577186301893,0.8601312335768226,1.0646070324365808,1024,1024,0,same_cross_fitted_c06_residual
CV01,15,8,0.75,HEFRK-08-E075,TWO-RBF-08-E075,1.9718577186301893,0.8601312335768226,1.0646070324365808,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,4,0.25,HEFRK-04-E025,TWO-RBF-04-E025,1.3254448873976465,0.7043456469176673,0.8825124232368452,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,4,0.5,HEFRK-04-E050,TWO-RBF-04-E050,1.3254448873976465,0.7043456469176673,0.8825124232368452,1024,1024,0,same_cross_fitted_c06_residual
CV01,16,4,0.75,HEFRK-04-E075,TWO-RBF-04-E075,1.3254448873976465,0.7043456469176673,0.8825124232368452,1024,1024,0,same_cross_fitted_c06_residual
