outer_fold,seed_index,config_id,q,layers,entangle,state_dimension,landmarks,lambda,psd_clipped_eigenvalues,min_eigenvalue_before_clip,conditioning_feature,validation_outcomes_used
CV03,6,CE-GFRK-06-L010,6,1,True,64,256,0.1,36,-2.129145509673498e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,6,CE-GFRK-08-L010,8,1,True,256,256,0.1,30,-1.6736588253741781e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.2545014747955993e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,CE-GFRK-06-L010,6,1,True,64,256,0.1,22,-1.4096208547306997e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,7,CE-GFRK-08-L010,8,1,True,256,256,0.1,31,-3.878309192157546e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.738726775375753e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,CE-GFRK-06-L010,6,1,True,64,256,0.1,25,-1.2287257385753356e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,8,CE-GFRK-08-L010,8,1,True,256,256,0.1,29,-3.515968403590159e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,9,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-1.4924894891193637e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,9,CE-GFRK-06-L010,6,1,True,64,256,0.1,26,-1.3624737727491964e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,9,CE-GFRK-08-L010,8,1,True,256,256,0.1,26,-2.189140992016147e-15,cross_fitted_c06_train_outer_c06_validation,0
CV03,10,CE-GFRK-04-L010,4,1,True,16,256,0.1,175,-2.2594327268041767e-14,cross_fitted_c06_train_outer_c06_validation,0
CV03,10,CE-GFRK-06-L010,6,1,True,64,256,0.1,26,-1.6502915630249579e-15,cross_fitted_c06_train_outer_c06_validation,0
