model_id,config_id,fold_id,seed_index,validation_rows,brier,auroc,recall,precision,ece,rmse,nrmse,mae,mean_regret_m_s,infeasible_selection_rate,no_predicted_feasible_rate
A02-R-q6,A02-R-q6,CV02,7,9750,0.31042369457140656,0.32114763918252287,0.0006060606060606061,0.2,0.34091068798749785,0.06713917624841007,0.028668714313762177,0.06049227300291202,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,8,9750,0.32895201963699433,0.2566751937984496,0.0,0.0,0.3113215542939444,0.09522044903135321,0.04065953743620236,0.08529292000436699,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,8,9750,0.3104231898568999,0.3211736669015739,0.0006060606060606061,0.2,0.34090558372789576,0.06713947655251817,0.028668842544895826,0.06049308721384317,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,9,9750,0.32894072753417175,0.25673549447968047,0.0,0.0,0.3112311129834447,0.09482015483259995,0.040488610107826256,0.0850430861278003,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,9,9750,0.3104250698853747,0.32116196852243367,0.0006060606060606061,0.2,0.3409071587609941,0.06713539899360843,0.028667101409868365,0.06048723802091524,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,10,9750,0.3289779231581139,0.25655752877613347,0.0,0.0,0.3113751167790411,0.0952436734830287,0.040669454376018765,0.0853277985903024,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,10,9750,0.3104165693927745,0.321176391825229,0.0006060606060606061,0.2,0.340898002723549,0.06714032816397361,0.028669206186615708,0.060494664135234535,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,11,9750,0.32898370487018563,0.2566281888653982,0.0,0.0,0.3113656699099808,0.09538607276423586,0.04073025947580594,0.08542457972311797,20.0,0.0,0.5861538461538461
A02-R-q6,A02-R-q6,CV02,11,9750,0.31041590601037594,0.32117129433873626,0.0006060606060606061,0.2,0.3409046560156208,0.06713953116843081,0.028668865866123223,0.06049341198612162,19.97948717948718,0.0020512820512820513,0.583076923076923
PRQK-06-E,PRQK-06-E,CV02,12,9750,0.3289672218499225,0.25666154568945265,0.0,0.0,0.31128588068675933,0.09475189764473954,0.040459463997790726,0.08498221291421282,20.0,0.0,0.5861538461538461
